Type of materials,Sub_type of materials,Functioal group/drug,Abbreviation,Shape,Agglomeration,Zeta potential,Cell_Type,Stimulant,Cellular uptake,Pro_inflammatoary ,Anti_inflammatoary ,Apoptosis,Organism,Gender,Dose times (Single dose/Multiple dose),Administration route,Injury_Model,Biosafety,Recovery,Reference,Unnamed: 27,Size (nm)_min,Size (nm)_max,NPs_Conc (ug/mL)_min,NPs_Conc (ug/mL)_max,Stimulant_Conc(ug/ml)_min,Stimulant_Conc(ug/ml)_max,Age (Weeks)_min,Age (Weeks)_max,Weight (g)_min,Weight (g)_max,Dose_invivo_ (mg/Kg)_min,Dose_invivo_ (mg/Kg)_max
Hydrogel,,,,Non-Sphere,,,Other,,High,,,,,,,,Peripheral Nerve,Good,Good,Axonal growth within poly(2-hydroxyethyl methacrylate) sponges infiltrated with Schwann cells and implanted into the lesioned rat optic tract,0006-8993(94)01312-6,10.0,100.0,,,,,,,,,,
Organic,,,,Non-Sphere,,,Neuronal,Growth/DF,High,Low,High,,,,,,Peripheral Nerve,Good,Good,Electrically Conductive Biodegradable Polymer Composite for Nerve Regeneration: Electricity‑Stimulated Neurite Outgrowth and Axon Regeneration,10.1111/j.1525-1594.2007.00335.x,10.0,100.0,,,10.0,100.0,,,,,,
Organic,,,,Non-Sphere,,,,Growth/DF,High,High,Low,Low,Small Rodents,Male,Multiple,Other,Peripheral Nerve,Good,Good,Electrically Conductive Biodegradable Polymer Composite for Nerve Regeneration: Electricity‑Stimulated Neurite Outgrowth and Axon Regeneration,10.1111/j.1525-1594.2007.00335.x,10.0,100.0,,,10.0,100.0,5.0,10.0,50.0,,,
Hydrogel,,,,Non-Sphere,No,,Other,Growth/DF,High,Low,Low,High,,,,,Brain Disease,Good,Good,Three-Dimensional Electroconductive Hyaluronic Acid Hydrogels Incorporated with Carbon nanotubes and Polypyrrole Enhance Neurogenesis of Human Neural Stem Cells,10.1021/acs.biomac.7b00568,10.0,100.0,,,500.0,,,,,,,
Hydrogel,,,,Non-Sphere,No,,Other,Growth/DF,High,Low,Low,Low,,,,,Brain Disease,Good,Good,Three-Dimensional Electroconductive Hyaluronic Acid Hydrogels Incorporated with Carbon nanotubes and Polypyrrole Enhance Neurogenesis of Human Neural Stem Cells,10.1021/acs.biomac.7b00568,10.0,100.0,,,500.0,,,,,,,
Organic,,,,Sphere,,,Other,Physical stimuli,High,Low,High,Low,,,,,Peripheral Nerve,Good,Good,Promoting neurite outgrowth from spiral ganglion neuron explants using polypyrrole/BDNF‑coated electrodes,10.1002/jbm.a.32228,,10.0,,,,,,,,,,
Organic,,,,Sphere,,,,Physical stimuli,High,Low,High,Low,Fish,,Multiple,,Peripheral Nerve,Good,Good,Promoting neurite outgrowth from spiral ganglion neuron explants using polypyrrole/BDNF‑coated electrodes,10.1002/jbm.a.32228,,10.0,,,,,,,,,,
Organic,,,,Non-Sphere,,,,,High,Low,High,Low,Small Rodents,Male,Multiple,Other,Peripheral Nerve,Good,Good,Polyaniline promotes peripheral nerve regeneration by enhancing BDNF/CNTF expression and activating ERK1/2/MAPK signaling,10.3892/mmr.2017.7534,10.0,100.0,,,,,5.0,10.0,50.0,,,
Organic,,,,Non-Sphere,,,Other,,High,Low,High,Low,,,,,Peripheral Nerve,Good,Good,Polyaniline promotes peripheral nerve regeneration by enhancing BDNF/CNTF expression and activating ERK1/2/MAPK signaling,10.3892/mmr.2017.7534,10.0,100.0,,,,,,,,,,
Carbon,,,,Non-Sphere,,,Glial,Inflammatory stimuli,High,Low,Low,High,,,,,Brain Disease,Good,Bad,"Two- and Three-Dimensional Graphene Structures Promote Cell-Matrix Adhesion, Proliferation, and Neural Differentiation",10.1002/adhm.201700827,10.0,100.0,,,0.0,10.0,,,,,,
Carbon,,,,Non-Sphere,,,Glial,Inflammatory stimuli,High,High,Low,High,,,,,Brain Disease,,Good,"Two- and Three-Dimensional Graphene Structures Promote Cell-Matrix Adhesion, Proliferation, and Neural Differentiation",10.1002/adhm.201700827,10.0,100.0,,,0.0,10.0,,,,,,
Carbon,,,,Non-Sphere,No,,Primary,,High,High,,Low,,,,,Brain Disease,Good,Good,Conductive Single-Walled Carbon nanotube Substrates Modulate neuronal Growth,10.1021/nl802855c,200.0,,1.0,10.0,,,,,,,,
Carbon,,,,Non-Sphere,No,Positive,,,High,,,,Small Rodents,,Single,,Brain Disease,Good,Good,Chemically Functionalized Water‑Soluble Single‑Walled Carbon nanotubes Modulate Neurite Outgrowth,10.1166/jnn.2005.189,10.0,100.0,1.0,10.0,,,0.0,5.0,,,,
Carbon,,,,Non-Sphere,No,Positive,Primary,,High,,,,,,,,Brain Disease,Good,Good,Chemically Functionalized Water‑Soluble Single‑Walled Carbon nanotubes Modulate Neurite Outgrowth,10.1166/jnn.2005.189,10.0,100.0,1.0,10.0,,,,,,,,
Carbon,,,,Non-Sphere,Yes,,Other,Physical stimuli,High,Low,,Low,,,,,Brain Disease,Good,Good,3D printing nano conductive multi-walled carbon nanotube scaffolds for nerve regeneration,10.1088/1741-2552/aa95a5,10.0,100.0,,,500.0,,,,,,,
Carbon,,,,Non-Sphere,Yes,,Other,Physical stimuli,High,High,High,Low,,,,,Brain Disease,Good,Good,3D printing nano conductive multi-walled carbon nanotube scaffolds for nerve regeneration,10.1088/1741-2552/aa95a5,10.0,100.0,,,500.0,,,,,,,
Carbon,,,,Non-Sphere,Yes,,,Inflammatory stimuli,High,High,,,Small Rodents,Female,,Other,Brain Disease,Bad,Bad,Functionalized Carbon nanotubes in the Brain: Cellular Internalization and Neuroinflammatory Responses,10.1371/jourMissingl.pone.0080964,,10.0,1.0,10.0,,,,,,,10.0,
Carbon,,,,Non-Sphere,No,,Neuronal,,High,,,Low,,,,,Brain Disease,Good,Good,Biocompatible Chitin/Carbon nanotubes Composite Hydrogels as neuronal Growth Substrates,10.1016/j.carbpol.2017.05.058,,10.0,,,,,,,,,,
Carbon,,,,Sphere,No,,Neuronal,,High,,,Low,,,,,Brain Disease,Good,Good,Electromagnetized-nanoparticle-Modulated Neural Plasticity and Recovery of Degenerative Dopaminergic Neurons in the Mid-Brain,10.1002/adma.202000000,,,,,,,,,,,,
Carbon,,,,Sphere,No,,,,High,High,Low,,Fish,,Multiple,Other,Brain Disease,,,Electromagnetized-nanoparticle-Modulated Neural Plasticity and Recovery of Degenerative Dopaminergic Neurons in the Mid-Brain,10.1002/adma.202000000,,,,,,,10.0,,,,10.0,100.0
Carbon,,,,Non-Sphere,,,,,,High,Low,,Small Rodents,Male,,Other,Peripheral Nerve,Good,Good,Preclinical assessment on neuronal regeneration in the injury-related microenvironment of graphene-based scaffolds,10.1038/s41536-021-00172-8,10.0,100.0,,,,,5.0,10.0,50.0,,,
Organic,,,,Sphere,Yes,,,,,,,,Small Rodents,Male,Multiple,Intravenous,Brain Disease,Good,Good,Vitamin D-binding protein-loaded PLGA nanoparticles suppress Alzheimer's disease-related pathology in 5XFAD mice,10.1016/j.Missingno.2019.02.004,,10.0,100.0,500.0,,,10.0,,,,,
Organic,,,,Sphere,Yes,,Neuronal,,,,,,,,,,Brain Disease,Good,Good,Vitamin D-binding protein-loaded PLGA nanoparticles suppress Alzheimer's disease-related pathology in 5XFAD mice,10.1016/j.Missingno.2019.02.004,,10.0,100.0,500.0,,,,,,,,
Inorganic,Iron Oxide,Chitosan,CMNPs,Sphere,No,,,,,,,,,,,,Peripheral Nerve,,,Chitosan Functionalized Magnetic  nanonomaterials to Provide Neural Regeneration and Recovery after Experimental Model Induced Peripheral Nerve Injury,10.3390/biom11050676,,,,,,,,,,,,
Organic,,,,,No,,Neuronal,Growth/DF,,,,,,,,,Brain Disease,Good,Good,"Enhancement of neurite adhesion, alignment and elongation on conductive polypyrrole–poly(lactide acid) fibers with cell-derived extracellular matrix",10.1016/j.colsurfb.2016.10.014,10.0,100.0,,,,,,,,,,
Carbon,,,,Non-Sphere,,,Other,Physical stimuli,,,,,,,,,Brain Disease,Good,,Rolled graphene oxide foams as three-dimensional scaffolds for growth of neural fibers using electrical stimulation of stem cells,10.1016/j.carbon.2015.06.079,,,,,,,,,,,,
Carbon,,,,Non-Sphere,,,Other,Physical stimuli,,,,,,,,,Brain Disease,Good,,Rolled graphene oxide foams as three-dimensional scaffolds for growth of neural fibers using electrical stimulation of stem cells,10.1016/j.carbon.2015.06.079,,,,,,,,,,,,
Organic,,,,Non-Sphere,,,Primary,Physical stimuli,,,,,,,,,Brain Disease,Good,Good,Patterned and Functionalized nanofiber scaffolds in three-dimensional hydrogel constructs enhance neurite outgrowth and directional control,10.1088/1741-2560/11/6/066009,,10.0,,,,,,,,,,
Organic,,,,Non-Sphere,,,Primary,Physical stimuli,,,,,,,,,Brain Disease,Good,Good,Patterned and Functionalized nanofiber scaffolds in three-dimensional hydrogel constructs enhance neurite outgrowth and directional control,10.1088/1741-2560/11/6/066009,,10.0,,,,,,,,,,
Hydrogel,,,,Non-Sphere,,,Other,,,,,,,,,,Brain Disease,Good,Good,Design of hyaluronic acid hydrogels to promote neurite outgrowth in three dimensions,10.1021/acsami.6b06446,200.0,,,,,,,,,,,
Hydrogel,,,,Non-Sphere,,,Other,,,,,,,,,,Brain Disease,Good,Good,Design of hyaluronic acid hydrogels to promote neurite outgrowth in three dimensions,10.1021/acsami.6b06446,200.0,,,,,,,,,,,
Hydrogel,,,,Non-Sphere,,,,,,High,,,Small Rodents,,,Other,Brain Injury,Good,Good,Hyaluronic acid hydrogels with IKVAV peptides for tissue repair and axonal regeneration in an injured rat brain,10.1088/1748-6041/2/3/S11,200.0,,,,,,10.0,,50.0,,,
Hydrogel,,,,Non-Sphere,,,,,,Low,,,Small Rodents,Male,Single,Other,Brain Injury,Good,Good,Hyaluronic acid inhibits the glial scar formation after brain damage with tissue loss in rats,10.1016/j.wneu.2009.09.004,,,,,,,5.0,10.0,50.0,,,
Hydrogel,,,,Non-Sphere,,,,,,Low,,,Small Rodents,Male,Single,Other,Brain Injury,Good,Good,Systematic optimization of an engineered hydrogel allows for selective control of human neural stem cell survival and differentiation after transplantation in the stroke brain,10.1016/j.biomaterials.2016.07.028,200.0,,,,,,5.0,10.0,,,,
Organic,,,,Non-Sphere,,,Neuronal,Growth/DF,,,,,,,,,,,,The Effect of Soluble Peptide Sequences on Neurite Extension on 2D Collagen Substrates and Within 3D Collagen Gels,10.1007/s10439-007-9389-4,10.0,100.0,500.0,,10.0,100.0,,,,,,
Organic,,,,Non-Sphere,,,Neuronal,Growth/DF,,,,,,,,,,Good,Good,The Effect of Soluble Peptide Sequences on Neurite Extension on 2D Collagen Substrates and Within 3D Collagen Gels,10.1007/s10439-007-9389-4,10.0,100.0,500.0,,10.0,100.0,,,,,,
Organic,,,,,,,Neuronal,Growth/DF,,,,,,,,,,Good,Good,The effect of laminin peptide gradient in enzymatically cross-linked collagen scaffolds on neurite growth,10.1002/jbm.a.32359,10.0,100.0,,,0.0,10.0,,,,,,
Hydrogel,,,,,,,Other,,,,,,,,,,,,,Collagen gel three-dimensional matrices combined with adhesive proteins stimulate neuronal differentiation of mesenchymal stem cells,10.1098/rsif.2010.0613,200.0,,,,,,,,,,,
Hydrogel,,,,,,,Other,,,,,,,,,,,,,Collagen gel three-dimensional matrices combined with adhesive proteins stimulate neuronal differentiation of mesenchymal stem cells,10.1098/rsif.2010.0613,200.0,,,,,,,,,,,
Organic,,,,,,,Neuronal,,,,,,,,,,Brain Disease,Good,Good,The impact of laminin on 3D neurite extension in collagen gels,10.1088/1741-2560/9/4/046007,10.0,100.0,,,,,,,,,,
Organic,,,,,,,Neuronal,,,,,,,,,,Brain Disease,Good,Good,The impact of laminin on 3D neurite extension in collagen gels,10.1088/1741-2560/9/4/046007,10.0,100.0,,,,,,,,,,
Other,,,,Non-Sphere,Yes,,,,,,,,,,,,Brain Disease,,,"Long-term three-dimensional neural tissue cultures in Functionalized self-assembling peptide hydrogels, Matrigel and Collagen I",10.1016/j.actbio.2012.09.010,,,,,,,,,,,,
Organic,,,,,,,,,,,,,Small Rodents,Female,,Other,Brain Injury,Good,Good,Combinated transplantation of neural stem cells and collagen type I promote functional recovery after cerebral ischemia in rats,10.1002/ar.20941,200.0,,,,,,,,,,,
Hydrogel,,,,,,,,,,Low,,,Small Rodents,Male,,Other,Brain Injury,Good,Good,Hydrogel Matrix to Support Stem Cell Survival After Brain Transplantation in Stroke,10.1177/1545968310361958,,,1.0,10.0,,,5.0,10.0,,,,
Hydrogel,,,,,,,Other,,,,,Low,,,,,Brain Injury,Good,Good,Hydrogel Matrix to Support Stem Cell Survival After Brain Transplantation in Stroke,10.1177/1545968310361958,,,1.0,10.0,,,,,,,,
Hydrogel,,,,,,,,,,Low,,,Small Rodents,Male,,Other,Brain Disease,Good,Good,The reduction in immunogenicity of neurotrophin overexpressing stem cells after intra-striatal transplantation by encapsulation in an in situ gelling collagen hydrogel,10.1016/j.biomaterials.2013.08.073,100.0,200.0,,,,,,,,,,
Hydrogel,,,,,,,Other,,,,,,,,,M,Brain Disease,Good,Good,The reduction in immunogenicity of neurotrophin overexpressing stem cells after intra-striatal transplantation by encapsulation in an in situ gelling collagen hydrogel,10.1016/j.biomaterials.2013.08.073,100.0,200.0,,,,,,,,,,
Hydrogel,,,,,,,,,,,Low,,Small Rodents,Male,,Other,Brain Disease,Good,,In Vivo Study on the Survival of Neural Stem Cells Transplanted into the Rat Brain with a Collagen Hydrogel That Incorporates Laminin-Derived Polypeptides,10.1021/bc400005m,,,,,,,5.0,10.0,50.0,,,
Hydrogel,,,,,,,Other,,,,,,,,,,Brain Disease,,,In Vivo Study on the Survival of Neural Stem Cells Transplanted into the Rat Brain with a Collagen Hydrogel That Incorporates Laminin-Derived Polypeptides,10.1021/bc400005m,,,,,,,,,,,,
Hydrogel,,,,,,,Other,,,,,,,,,,Brain Disease,Good,,The influence of hydrogel modulus on the proliferation and differentiation of encapsulated neural stem cells,10.1016/j.biomaterials.2009.05.050,10.0,100.0,,,,,,,,,,
Hydrogel,,,,,,,Other,,,,,,,,,,Brain Disease,Bad,Good,The influence of hydrogel modulus on the proliferation and differentiation of encapsulated neural stem cells,10.1016/j.biomaterials.2009.05.050,10.0,100.0,,,,,,,,,,
Hydrogel,,,,,,,Other,Oxidative stress,,Low,High,High,,,,,Brain Disease,Good,,Alginate protects NT2 neurons against H2O2-induced neurotoxicity,10.1016/j.carbpol.2009.10.040,,,,,,,,,,,,
Hydrogel,,,,,,,Primary,Oxidative stress,,,,Low,,,,,Brain Disease,Good,Good,Novel Soft Alginate Hydrogel Strongly Supports Neurite Growth and Protects Neurons Against Oxidative Stress,10.1089/ten.tea.2011.0097,200.0,,,,,,,,,,,
Hydrogel,,,,,,,Other,,,,,Low,,,,,Brain Disease,,Good,TATVHL peptide-grafted alginate/poly(γ-glutamic acid) scaffolds with inverted colloidal crystal topology for neuronal differentiation of iPS cells,10.1016/j.biomaterials.2012.08.073,,10.0,,,,,,,,,,
Hydrogel,,,,,,,,,,,,,Small Rodents,Male,,Other,Brain Injury,Good,Good,Injectable Hydrogels Providing Sustained Delivery of Vascular Endothelial Growth Factor are Neuroprotective in a Rat Model of Huntington’s Disease,10.1007/s12640-009-9079-0,100.0,200.0,,,,,10.0,,50.0,,,
Hydrogel,,,,,,,,,,,,,Small Rodents,Male,,Other,Brain Injury,Good,Good,Injectable VEGF Hydrogels Produce Near Complete Neurological and Anatomical Protection Following Cerebral Ischemia in Rats,10.3727/096368910X498278,100.0,200.0,,,,,10.0,,50.0,,10.0,
Hydrogel,,,,,,,Neuronal,,,,,,,,,,Brain Disease,Good,,Simple agarose-chitosan gel composite system for enhanced neuronal growth in three dimensions,10.1021/bm900670n,10.0,100.0,500.0,,,,,,,,,
Hydrogel,,,,,,,Other,,,,,,,,,,Brain Disease,Good,,Polylysine-functionalised thermoresponsive chitosan hydrogel for neural tissue engineering,10.1016/j.biomaterials.2006.08.044,200.0,,500.0,,,,,,,,,
Hydrogel,,,,,,,Other,,,,,,,,,,Brain Disease,Good,,Polylysine-functionalised thermoresponsive chitosan hydrogel for neural tissue engineering,10.1016/j.biomaterials.2006.08.044,200.0,,500.0,,,,,,,,,
Hydrogel,,,,,,,Other,Growth/DF,,,,,,,,,Brain Disease,Good,,Inverted colloidal crystal scaffolds with laminin-derived peptides for neuronal differentiation,10.1016/j.biomaterials.2010.09.057,200.0,,,,,,,,,,,
Hydrogel,,,,,,,Other,Growth/DF,,,,,,,,,Brain Disease,Good,,Inverted colloidal crystal scaffolds with laminin-derived peptides for neuronal differentiation,10.1016/j.biomaterials.2010.09.057,200.0,,,,,,,,,,,
Hydrogel,,,,,,,Other,,,,,High,,,,,Brain Disease,,,Self-healing polysaccharide-based hydrogels as injectable carriers for neural stem cells,10.1038/srep37841,10.0,100.0,,,,,,,,,,
Hydrogel,,,,,,,Other,,,,,,,,,,Brain Disease,Good,Good,Self-healing polysaccharide-based hydrogels as injectable carriers for neural stem cells,10.1038/srep37841,10.0,100.0,,,,,,,,,,
Hydrogel,,,,Sphere,,,,,,High,,,Small Rodents,Female,,Other,Spinal Injury,Good,Good,Intrathecal delivery of a polymeric nanocomposite hydrogel after spinal cord injury,10.1016/j.biomaterials.2010.07.004,200.0,,,,,,,,50.0,,,
Hydrogel,,,,,,,,,,High,High,High,Small Rodents,,,Other,Brain Injury,Good,Good,Hydrogel delivery of erythropoietin to the brain for endogenous stem cell stimulation after stroke injury,10.1016/j.biomaterials.2011.12.031,,,,,,,10.0,,,,,
Hydrogel,,,,,,,,,,,,,Small Rodents,,,Other,Brain Injury,Good,Good,Controlled epi-cortical delivery of epidermal growth factor for the stimulation of endogenous neural stem cell proliferation in stroke-injured brain,10.1016/j.biomaterials.2011.04.032,,10.0,,,,,10.0,,,,,
Organic,,,,,,,,,,High,High,Low,Small Rodents,Male,,Other,Brain Injury,Good,Good,Bioengineered sequential growth factor delivery stimulates brain tissue regeneration after stroke,10.1016/j.jconrel.2013.07.032,200.0,,,,,,10.0,,,,,
Hydrogel,,,,,,,,,,Low,,,Small Rodents,,,Other,Spinal Injury,Good,Good,"The effects of intrathecal injection of a hyaluronan-based hydrogel on inflammation, scarring and neurobehavioural outcomes in a rat model of severe spinal cord injury associated with arachnoiditis",10.1016/j.biomaterials.2012.03.022,10.0,100.0,,,,,,,,,,
Hydrogel,,,,,,,Primary,,,,,,,,,,Brain Disease,Good,Good,Enhanced neurite growth from mammalian neurons in three-dimensional salmon fibrin gels,10.1016/j.biomaterials.2007.01.008,10.0,100.0,,,,,,,,,,
Hydrogel,,,,,,,,,,,,,Small Rodents,,,,Brain Disease,,,Enhanced neurite growth from mammalian neurons in three-dimensioMissingl salmon fibrin gels,10.1016/j.biomaterials.2007.01.008,10.0,100.0,,,,,,,,,,
Hydrogel,,,,,,,,,,,,Low,Small Rodents,,,Other,Brain Injury,Good,Good,Transplantation of human neural precursor cells in Matrigel scaffolding improves outcome from focal cerebral ischemia after delayed postischemic treatment in rats,10.1038/jcbfm.2009.219,200.0,,,,,,,,,,,
Organic,,,,,,,,,,High,,Low,Small Rodents,,,,Brain Disease,Bad,,Fibrin deposition accelerates neurovascular damage and neuroinflammation in mouse models of Alzheimer’s disease,10.1084/jem.20070304,200.0,,,,,,,,,,10.0,100.0
Hydrogel,,,,,,,,,,,,,,,,,Brain Disease,Good,,Design of three-dimensional engineered protein hydrogels for tailored control of neurite growth,10.1016/j.actbio.2012.10.033,10.0,100.0,,,,,,,,,,
Hydrogel,,,,Non-Sphere,Yes,Negative,,,,High,,High,Small Rodents,Female,,Other,Brain Injury,Bad,Bad,Self-assembling peptide nanofiber scaffold promotes the reconstruction of acutely injured brain,10.1016/j.Missingno.2008.12.001,100.0,200.0,,,,,,,50.0,,10.0,100.0
Hydrogel,,,,,,,Other,Growth/DF,,,,,,,,,Brain Disease,Good,Good,Stimulation of neurite outgrowth using positively charged hydrogels,10.1016/j.biomaterials.2009.04.018,,,,,0.0,10.0,,,,,,
Hydrogel,,,,,,,Other,,,,,High,,,,,Brain Disease,Bad,,Effect of macromer weight percent on neural cell growth in 2D and 3D nondegradable PEG hydrogel culture,10.1002/jbm.a.32787,10.0,100.0,,,,,,,,,,
Organic,,,,,,,,,,,,,,,,,Brain Disease,,,"Impact of Degradable Macromer Content in a Poly(Ethylene Glycol) Hydrogel on Neural Cell Metabolic Activity, Redox State, Proliferation, and Differentiation",10.1089/ten.tea.2009.0509,200.0,,,,,,,,,,,
Hydrogel,,,,Sphere,,,Neuronal,Growth/DF,,,,,,,,,,Good,,,10.1021/bm801101e ,10.0,100.0,,,0.0,10.0,,,,,,
Hydrogel,,,,Non-Sphere,,,,,,,,,,,,,Brain Disease,,,The use of superporous Ac-CGGASIKVAVS-OH-modified PHEMA scaffolds to promote cell adhesion and the differentiation of human fetal neural precursors,10.1016/j.biomaterials.2010.04.040,10.0,100.0,,,,,,,,,,
Organic,,,,,,,Other,,,,,,,,,,Spinal Injury,Good,,Repair of the injured spinal cord by implantation of a synthetic degradable block copolymer in rat,10.1016/j.biomaterials.2014.04.020,200.0,,,,,,,,,,,
Organic,,,,,,,,,,High,,,Small Rodents,Male,,Other,Spinal Injury,Good,Good,Repair of the injured spinal cord by implantation of a synthetic degradable block copolymer in rat,10.1016/j.biomaterials.2014.04.020,200.0,,,,,,10.0,,50.0,,,
Hydrogel,,,,Non-Sphere,,,,,,High,,,Small Rodents,Male,,Other,Spinal Injury,Good,Good,Acute and delayed implantation of positively charged 2-hydroxyethyl methacrylate scaffolds in spinal cord injury in the rat,10.3171/SPI-08/01/067,200.0,,,,,,10.0,,,,,
Hydrogel,,,,Non-Sphere,,,,,,Low,,,Small Rodents,Male,,Other,Spinal Injury,Good,Good,HPMA-RGD Hydrogels Seeded with Mesenchymal Stem Cells Improve Functional Outcome in Chronic Spinal Cord Injury,10.1089/scd.2009.0378,200.0,,,,,,5.0,10.0,50.0,,10.0,
Hydrogel,,,,,,,,,,,,,Small Rodents,Male,,Other,Spinal Injury,Good,Good,SIKVAV-modified highly superporous PHEMA scaffolds with oriented pores for spinal cord injury repair,10.1002/term.1694,10.0,100.0,,,,,,,50.0,,,
Hydrogel,,,,Non-Sphere,,,,,,,,,Small Rodents,Male,,,Brain Injury,Good,Good,Neuro-Regenerative Choline-Functionalized Injectable Graphene Oxide Hydrogel Repairs Focal Brain Injury,10.1021/acschemneuro.8b00514,100.0,200.0,100.0,500.0,,,,,,,,
Hydrogel,,,,Non-Sphere,,,Neuronal,,,,,,,,,,Brain Injury,Good,Good,Neuro-Regenerative Choline-Functionalized Injectable Graphene Oxide Hydrogel Repairs Focal Brain Injury,10.1021/acschemneuro.8b00514,100.0,200.0,100.0,500.0,,,,,,,,
Hydrogel,,,,,,,Neuronal,Growth/DF,High,,,Low,,,,,Spinal Injury,Good,Good,BioFunctionalized peptide-based hydrogel as an injectable scaffold for BDNF delivery can improve regeneration after spinal cord injury,10.1016/j.injury.2018.12.027,10.0,100.0,10.0,100.0,0.0,10.0,,,,,,
Hydrogel,,,,,,,,Growth/DF,High,High,Low,Low,Small Rodents,Male,,Other,Spinal Injury,Good,Bad,BioFunctionalized peptide-based hydrogel as an injectable scaffold for BDNF delivery can improve regeneration after spinal cord injury,10.1016/j.injury.2018.12.027,10.0,100.0,10.0,100.0,0.0,10.0,5.0,10.0,50.0,,,
Inorganic,Gold,,AuNPs,Sphere,,,,,,High,Low,Low,Small Rodents,,,Intraperitoneal,Brain Injury,Bad,Bad,,10.1016/j.sjbs.2018.09.012,10.0,100.0,,,,,5.0,10.0,1.0,50.0,10.0,
Organic,,,,,No,Negative,,Inflammatory stimuli,High,Low,High,High,Small Rodents,Female,Multiple,Intravenous,Spinal Injury,Good,Good,Intravenous immune-modifying nanoparticles as a therapy for spinal cord injury in mice,10.1016/j.nbd.2017.08.006,,10.0,1.0,10.0,0.0,10.0,5.0,10.0,,,10.0,
Organic,,,,,No,Negative,Other,Inflammatory stimuli,High,Low,High,High,,,,,Spinal Injury,Bad,,Intravenous immune-modifying nanoparticles as a therapy for spinal cord injury in mice,10.1016/j.nbd.2017.08.006,,10.0,1.0,10.0,0.0,10.0,,,,,,
Hybrid,,,,Non-Sphere,Yes,,Neuronal,Neurotoxins,High,,,,,,,,Mi,,,"Polycaprolactone/polysialic acid hybrid, multifunctional nanofiber scaffolds for treatment of spinal cord injury",10.1016/j.actbio.2018.06.038,200.0,,10.0,100.0,100.0,500.0,,,,,,
Hybrid,,,,Non-Sphere,Yes,,,Neurotoxins,High,Low,High,High,Small Rodents,Female,Multiple,Other,Spinal Injury,Good,Good,"Polycaprolactone/polysialic acid hybrid, multifunctional nanofiber scaffolds for treatment of spinal cord injury",10.1016/j.actbio.2018.06.038,200.0,,10.0,100.0,100.0,500.0,5.0,10.0,50.0,,10.0,100.0
Carbon,,,,,Yes,,Other,NPs stimuli,,,,High,,,,,Brain Disease,Bad,Bad,Effect of carbon nanotubes on a neuronal cell model in vitro,10.5147/ajb.2011.0061,,10.0,100.0,500.0,100.0,500.0,,,,,,
Carbon,,,,Non-Sphere,,,Other,NPs stimuli,,High,,High,,,,,Brain Disease,Bad,Bad,Single walled carbon nanotubes in high concentrations is cytotoxic to the human neuronal cell LN18,https://doi.org/10.1016/j.rechem.2022.100484,200.0,,10.0,100.0,10.0,100.0,,,,,,
Carbon,,,,Non-Sphere,Yes,,Other,NPs stimuli,,,,Low,,,,,Brain Disease,Good,Good,Effect of Graphene on Nonneuronal and neuronal Cell Viability and Stress,10.1021/acs.Missingnolett.7b01215,,10.0,,,,,,,,,,
Carbon,,,,Non-Sphere,,,Other,NPs stimuli,,,,,,,,,Brain Disease,,,Multi-walled carbon nanotubes decrease neuronal NO synthase in 3D brain organoids,10.1016/j.scitotenv.2020.141384,10.0,100.0,,,,,,,,,,
Carbon,,,,,,,Primary,NPs stimuli,,High,,,,,,,Brain Disease,,,Microglia determine brain region-specific neurotoxic responses to chemically Functionalized carbon nanotubes,10.1021/acsMissingno.5b02358,200.0,,10.0,100.0,10.0,100.0,,,,,,
Carbon,,,,,,,Primary,NPs stimuli,,High,,,,,,,Brain Disease,,,Microglia determine brain region-specific neurotoxic responses to chemically Functionalized carbon nanotubes,10.1021/acsMissingno.5b02358,200.0,,10.0,100.0,10.0,100.0,,,,,,
Carbon,,,,,,,Primary,NPs stimuli,,High,,,,,,,Brain Disease,,,Microglia determine brain region-specific neurotoxic responses to chemically Functionalized carbon nanotubes,10.1021/acsMissingno.5b02358,10.0,100.0,1.0,10.0,0.0,10.0,,,,,,
Carbon,,,,,,,Primary,NPs stimuli,,High,,,,,,,Brain Disease,,,Microglia determine brain region-specific neurotoxic responses to chemically Functionalized carbon nanotubes,10.1021/acsMissingno.5b02358,10.0,100.0,1.0,10.0,0.0,10.0,,,,,,
Carbon,,,,,,,Primary,NPs stimuli,,High,,,,,,,Brain Disease,,,Microglia determine brain region-specific neurotoxic responses to chemically Functionalized carbon nanotubes,10.1021/acsMissingno.5b02358,,,1.0,10.0,0.0,10.0,,,,,,
Carbon,,,,Non-Sphere,Yes,,Primary,Neurotoxins,,,,,,,,,Brain Disease,,Good,Pluronic-coated carbon nanotubes do not induce degeneration of cortical neurons in vivo and in vitro,10.1016/j.Missingno.2008.06.008,200.0,,100.0,500.0,100.0,500.0,,,,,,
Carbon,,,,Non-Sphere,Yes,,,Neurotoxins,,High,,Low,Small Rodents,Both,Multiple,Other,Brain Disease,Bad,Bad,Pluronic-coated carbon nanotubes do not induce degeneration of cortical neurons in vivo and in vitro,10.1016/j.Missingno.2008.06.008,200.0,,100.0,500.0,100.0,500.0,,,,,10.0,
